Country,Date,Year,abc
Afghanistan,1/1/1901,1991,613.99
Afghanistan,1/1/1906,1996,624.04
Afghanistan,1/1/1911,2001,634.25
Afghanistan,1/1/1916,2006,647.28
Afghanistan,1/1/1921,2011,662.4
Afghanistan,1/1/1926,1901,677.87
Afghanistan,1/1/1931,1906,693.71
Afghanistan,1/1/1936,1911,709.91
Afghanistan,1/1/1941,1916,726.49
Afghanistan,1/1/1946,1921,743.46
Afghanistan,1/1/1951,1926,766.75
Afghanistan,1/1/1956,1931,837.07
Afghanistan,1/1/1961,1936,857.36
Afghanistan,1/1/1966,1941,833.61
Afghanistan,1/1/1971,1946,773.7
Afghanistan,1/1/1976,1951,866.19
Afghanistan,1/1/1981,1956,896.86
Afghanistan,1/1/1986,1961,"1,030.89"
Afghanistan,1/1/1991,1966,705.45
Afghanistan,1/1/1996,1971,617.91
Afghanistan,1/1/2001,1976,595.04
Afghanistan,1/1/2006,1981,887.91
Afghanistan,1/1/2011,1986,"1,261.35"
Albania,1/1/1901,1991,"1,062.01"
Albania,1/1/1906,1996,"1,133.49"
Albania,1/1/1911,2001,"1,209.42"
Albania,1/1/1916,2006,"1,272.01"
Albania,1/1/1921,2011,"1,326.12"
Albania,1/1/1926,1901,"1,382.53"
Albania,1/1/1931,1906,"1,428.08"
Albania,1/1/1936,1911,"1,454.82"
Albania,1/1/1941,1916,"1,482.05"
Albania,1/1/1946,1921,"1,509.79"
Albania,1/1/1951,1926,"1,598.49"
Albania,1/1/1956,1931,"1,825.30"
Albania,1/1/1961,1936,"2,238.79"
Albania,1/1/1966,1941,"2,660.07"
Albania,1/1/1971,1946,"3,188.58"
Albania,1/1/1976,1951,"3,517.62"
Albania,1/1/1981,1956,"3,611.03"
Albania,1/1/1986,1961,"3,715.55"
Albania,1/1/1991,1966,"2,717.57"
Albania,1/1/1996,1971,"3,569.59"
Albania,1/1/2001,1976,"4,476.05"
Albania,1/1/2006,1981,"5,652.05"
Albania,1/1/2011,1986,"6,914.27"
Algeria,1/1/1901,1991,"1,807.76"
Algeria,1/1/1906,1996,"1,913.02"
Algeria,1/1/1911,2001,"2,024.41"
Algeria,1/1/1916,2006,"2,097.74"
Algeria,1/1/1921,2011,"2,143.49"
Algeria,1/1/1926,1901,"2,190.24"
Algeria,1/1/1931,1906,"2,238.01"
Algeria,1/1/1936,1911,"2,286.81"
Algeria,1/1/1941,1916,"2,336.69"
Algeria,1/1/1946,1921,"2,387.65"
Algeria,1/1/1951,1926,"2,397.53"
Algeria,1/1/1956,1931,"2,764.42"
Algeria,1/1/1961,1936,"3,202.96"
Algeria,1/1/1966,1941,"3,070.75"
Algeria,1/1/1971,1946,"3,559.35"
Algeria,1/1/1976,1951,"4,642.62"
Algeria,1/1/1981,1956,"5,573.38"
Algeria,1/1/1986,1961,"5,876.05"
Algeria,1/1/1991,1966,"5,061.30"
Algeria,1/1/1996,1971,"4,824.21"
Algeria,1/1/2001,1976,"5,156.45"
Algeria,1/1/2006,1981,"6,022.27"
Algeria,1/1/2011,1986,"6,354.64"
Andorra,1/1/1901,1991,"3,352.50"
Andorra,1/1/1906,1996,"3,553.95"
Andorra,1/1/1911,2001,"3,767.51"
Andorra,1/1/1916,2006,"4,313.53"
Andorra,1/1/1921,2011,"5,198.77"
Andorra,1/1/1926,1901,"6,265.69"
Andorra,1/1/1931,1906,"7,551.56"
Andorra,1/1/1936,1911,"9,101.33"
Andorra,1/1/1941,1916,"10,969.16"
Andorra,1/1/1946,1921,"13,220.30"
Andorra,1/1/1951,1926,"15,933.44"
Andorra,1/1/1956,1931,"19,203.39"
Andorra,1/1/1961,1936,"23,144.40"
Andorra,1/1/1966,1941,"27,894.22"
Andorra,1/1/1971,1946,"32,191.43"
Andorra,1/1/1976,1951,"32,840.79"
Andorra,1/1/1981,1956,"28,684.58"
Andorra,1/1/1986,1961,"25,621.54"
Andorra,1/1/1991,1966,"28,091.12"
Andorra,1/1/1996,1971,"25,839.07"
Andorra,1/1/2001,1976,"33,293.00"
Andorra,1/1/2006,1981,"39,924.84"
Andorra,1/1/2011,1986,"31,630.74"
Angola,1/1/1901,1991,525.76
Angola,1/1/1906,1996,538.2
Angola,1/1/1911,2001,550.94
Angola,1/1/1916,2006,643.48
Angola,1/1/1921,2011,820.64
Angola,1/1/1926,1901,"1,046.58"
Angola,1/1/1931,1906,"1,334.71"
Angola,1/1/1936,1911,"1,702.17"
Angola,1/1/1941,1916,"2,170.80"
Angola,1/1/1946,1921,"2,768.45"
Angola,1/1/1951,1926,"3,440.90"
Angola,1/1/1956,1931,"3,549.04"
Angola,1/1/1961,1936,"4,463.83"
Angola,1/1/1966,1941,"5,308.14"
Angola,1/1/1971,1946,"5,526.21"
Angola,1/1/1976,1951,"3,050.32"
Angola,1/1/1981,1956,"2,953.41"
Angola,1/1/1986,1961,"2,220.61"
Angola,1/1/1991,1966,"2,730.85"
Angola,1/1/1996,1971,"2,157.35"
Angola,1/1/2001,1976,"2,479.69"
Angola,1/1/2006,1981,"4,148.00"
Angola,1/1/2011,1986,"5,546.65"
Antigua and Barbuda,1/1/1901,1991,917.85
Antigua and Barbuda,1/1/1906,1996,948.58
Antigua and Barbuda,1/1/1911,2001,980.33
