Variant,"Region, subregion, country or area *",Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Estimates,Burundi,,108,Country/Area,910,24.6,24.8,25.9,26.9,27.2,30.9,32.9,34.1,30.4,27.4,29.4,31.9,33.0,31.2
Estimates,Comoros,,174,Country/Area,910,19.6,23.3,24.9,25.7,26.9,28.7,31.4,31.7,30.1,28.7,27.5,27.1,26.6,24.8
Estimates,Djibouti,,262,Country/Area,910,20.0,23.6,26.8,28.7,30.8,29.9,28.9,29.4,27.8,22.9,19.9,17.0,15.5,14.6
Estimates,Eritrea,,232,Country/Area,910,17.7,22.0,24.8,25.7,26.2,26.9,27.9,27.7,23.3,19.4,24.0,28.3,25.7,23.4
Estimates,Ethiopia,,231,Country/Area,910,19.3,21.1,24.4,25.8,27.6,27.7,27.8,29.2,29.4,30.3,28.8,27.7,27.2,25.9
Estimates,Kenya,,404,Country/Area,910,27.9,30.0,32.4,34.4,36.9,37.9,38.1,35.3,29.7,28.2,27.0,28.5,26.2,23.4
Estimates,Madagascar,,450,Country/Area,910,21.3,23.1,24.7,26.4,28.3,29.3,28.9,28.5,30.1,31.5,30.2,28.6,27.2,26.7
Estimates,Malawi,,454,Country/Area,910,20.4,22.5,24.3,25.8,27.6,29.3,30.1,30.2,27.1,26.0,25.8,29.0,29.2,27.5
Estimates,Mauritius,1,480,Country/Area,910,28.1,31.7,35.1,25.9,20.1,20.3,14.4,14.7,14.4,11.3,9.3,6.2,3.8,1.9
Estimates,Mayotte,2,175,Country/Area,910,14.3,24.0,30.7,35.5,38.9,42.3,41.4,39.8,32.4,32.9,33.6,33.7,29.2,25.6
Estimates,Mozambique,,508,Country/Area,910,18.4,20.4,23.1,23.6,24.3,25.3,24.8,24.2,26.0,27.5,28.8,28.0,28.0,29.1
Estimates,Réunion,2,638,Country/Area,910,30.4,30.6,31.7,27.7,19.6,17.1,17.4,18.4,16.6,15.2,14.6,12.7,11.1,8.7
Estimates,Rwanda,,646,Country/Area,910,28.9,29.9,28.5,28.7,30.9,34.0,36.9,33.1,-2.4,24.8,23.3,27.1,26.9,26.8
Estimates,Seychelles,,690,Country/Area,910,26.6,25.9,27.9,27.0,25.2,22.1,19.7,17.1,15.1,11.7,11.8,11.9,10.1,9.0
Estimates,Somalia,,706,Country/Area,910,19.1,20.3,21.6,23.0,23.8,23.8,25.4,28.5,29.6,33.7,32.6,32.0,30.8,30.9
Estimates,South Sudan,,728,Country/Area,910,10.8,16.3,19.4,21.8,22.7,23.7,23.4,25.7,27.2,27.6,26.3,26.4,25.9,24.6
Estimates,Uganda,,800,Country/Area,910,26.5,27.8,29.7,31.5,31.9,32.5,33.1,32.5,31.2,31.0,33.4,34.9,34.5,31.8
Estimates,United Republic of Tanzania,3,834,Country/Area,910,26.1,28.0,28.7,29.6,30.3,31.1,30.5,29.9,28.2,26.9,29.2,30.9,30.8,30.4
Estimates,Zambia,,894,Country/Area,910,27.0,29.8,32.2,32.6,34.4,34.6,33.2,31.8,28.2,26.6,28.6,30.2,31.5,29.7
Estimates,Zimbabwe,,716,Country/Area,910,31.6,32.7,34.4,35.2,36.3,37.0,33.6,30.5,23.4,17.1,14.9,18.3,26.3,22.8
Estimates,Angola,,24,Country/Area,911,20.7,22.3,21.8,24.3,28.9,29.1,30.3,31.1,30.3,29.7,31.0,33.3,34.1,32.6
Estimates,Cameroon,,120,Country/Area,911,17.7,19.0,21.8,24.3,26.7,29.1,31.4,31.6,29.4,27.0,27.4,28.0,27.4,26.3
Estimates,Central African Republic,,140,Country/Area,911,11.0,13.8,16.1,18.3,20.9,23.3,25.5,25.8,24.3,22.6,22.0,22.5,22.6,23.0
Estimates,Chad,,148,Country/Area,911,17.8,18.7,19.8,21.6,25.6,28.0,29.6,31.3,32.6,33.2,33.0,32.3,31.6,30.2
Estimates,Congo,,178,Country/Area,911,19.3,22.2,25.2,27.6,29.3,30.0,28.6,27.2,25.9,25.4,26.3,28.3,28.1,26.3
Estimates,Democratic Republic of the Congo,,180,Country/Area,911,20.8,23.0,24.5,25.7,26.7,27.2,28.3,28.9,29.8,29.3,31.1,32.9,33.1,31.8
Estimates,Equatorial Guinea,,226,Country/Area,911,12.3,12.5,13.5,15.6,15.6,19.1,24.7,24.4,25.1,27.0,27.5,27.0,25.6,24.0
Estimates,Gabon,,266,Country/Area,911,3.3,5.5,8.9,14.2,17.9,21.5,24.7,26.4,25.7,23.1,21.0,22.5,25.0,25.1
Estimates,Sao Tome and Principe,,678,Country/Area,911,26.8,29.1,30.2,29.9,28.1,31.0,30.1,29.4,28.8,29.4,31.5,31.1,28.9,26.9
Estimates,Botswana,,72,Country/Area,913,26.7,29.0,30.0,31.0,32.0,33.9,33.9,28.9,23.0,17.7,15.0,17.0,20.1,19.3
Estimates,Eswatini,,748,Country/Area,913,24.8,26.0,27.8,30.5,34.3,36.1,37.5,33.0,29.2,21.6,14.3,13.8,14.9,17.3
Estimates,Lesotho,,426,Country/Area,913,22.3,24.1,25.0,26.4,28.5,29.7,29.5,27.0,22.5,17.4,12.4,9.2,11.0,12.7
